County Name,Total Medicaid Coverage Rate,Child Medicaid/CHIP Coverage Rate,Adult Medicaid Coverage Rate,Senior Medicaid Coverage Rate
Adams County,23.4,38.4,18.1,10.2
Allen County,21.9,35.9,17.3,14.9
Bartholomew County,20.9,36.3,16.5,13.5
Benton County,23.7,41.2,19.5,11.7
Blackford County,23.9,42.7,20.8,11.7
Boone County,17.4,30.3,13.3,10.6
Brown County,17.6,36.5,15.7,8.8
Carroll County,19.3,37,15.7,9.1
Cass County,22.7,40.1,18.5,13.3
Clark County,20.8,36.9,16.9,12.8
Clay County,20.8,37.7,17.6,9
Clinton County,21.5,37.5,16.7,10.4
Crawford County,24.6,43.3,20.5,15.3
Daviess County,22.4,36.9,17.2,12.4
Dearborn County,18.8,34.3,15.4,10
Decatur County,19.5,35.2,15.3,11.5
DeKalb County,19.8,35.4,16,9.4
Delaware County,24.7,42.4,21.4,13.6
Dubois County,19.3,35.5,14.6,11.2
Elkhart County,22.4,37.6,17,13.5
Fayette County,24.3,41.9,21.3,12.8
Floyd County,19.5,34.8,16.1,9.8
Fountain County,21.7,38.3,17.5,14.9
Franklin County,18.9,36.1,15,9
Fulton County,22.3,39.1,18.3,13.1
Gibson County,20.5,37,16.4,10.8
Grant County,24.6,41.9,20.9,14.2
Greene County,22.9,40.4,19.9,11.7
Hamilton County,15.7,26.4,12.2,9.4
Hancock County,17.4,31.8,14.1,8.8
Harrison County,19.3,34.8,16,10.6
Hendricks County,17,29.7,13.4,9.2
Henry County,22.4,39.9,19.3,12.5
Howard County,22.8,39.9,19.4,11.8
Huntington County,20.4,38,16.5,10.5
Jackson County,21.4,37.4,16.7,14.2
Jasper County,19.4,35.9,15.8,8.6
Jay County,23.8,41.1,19.6,11.4
Jefferson County,22.5,38.6,19.3,13.8
Jennings County,22.9,39,19.5,12.2
Johnson County,18.7,32.7,15.1,9.8
Knox County,22.1,38.1,18.6,12.5
Kosciusko County,19.7,36.2,15.3,10.1
LaGrange County,20.2,33.3,15.2,8
Lake County,24,38.9,19.6,18.2
LaPorte County,22.6,39.1,19.4,13.1
Lawrence County,20.7,37.8,17.5,10.9
Madison County,23.7,40.7,20.2,13.8
Marion County,25.8,40.3,19.6,26.7
Marshall County,20.8,36.7,16.2,12.3
Martin County,20.9,38.4,17.2,11.3
Miami County,22.6,40.1,19.6,10.8
Monroe County,21,36.6,17.3,11.9
Montgomery County,21.6,38.1,17.8,11.7
Morgan County,19.3,35,15.8,10.2
Newton County,22,39.1,18.2,14.1
Noble County,19.7,35.7,15.6,9.8
Ohio County,19.9,38.1,17.1,9.7
Orange County,23.3,40.3,19.9,12.8
Owen County,22.3,40.3,19,12.9
Parke County,22.9,40.6,19.3,13.5
Perry County,20.3,37.1,16.8,11.4
Pike County,19.7,36.8,16.3,9.9
Porter County,19.2,34.5,16,10.2
Posey County,18.8,34.7,15,11.4
Pulaski County,21.7,39.2,18.2,11.6
Putnam County,19.6,36.1,16.4,9.7
Randolph County,22.5,40.1,19,11.1
Ripley County,20.1,35.7,16,12
Rush County,21.8,38.6,18.2,11.7
St. Joseph County,23.5,38.7,19,16.2
Scott County,24.9,40.9,20.9,16.8
Shelby County,20.6,36.8,16.8,11.6
Spencer County,18.8,36.1,15.2,9.7
Starke County,23.7,39.8,19.8,15.4
Steuben County,18.7,36.5,15.5,8.6
Sullivan County,23.2,40.3,20.8,11.9
Switzerland County,22.9,39.2,19.9,10
Tippecanoe County,22,37.1,17.5,13.5
Tipton County,19,36.6,15.8,9.6
Union County,19,36.8,15.6,8.7
Vanderburgh County,22.7,38.9,19,13.7
Vermillion County,22.6,39.7,19.2,12.5
Vigo County,25.3,41.3,21.7,16.5
Wabash County,20,38.1,16.8,9.3
Warren County,19.5,37,16.4,8.7
Warrick County,17,32.2,13.6,7.5
Washington County,22.2,39,18.5,12.3
Wayne County,24.1,41,20.7,13.5
Wells County,18.8,35.1,14.7,8.5
White County,19.8,37.1,16,9.7
Whitley County,18.8,35.2,14.9,9.9