fiscal year,Percent of US population on Medicaid
1973,0.08286372248044757
1974,0.08893730023046385
1975,0.09344273314208769
1976,0.09509348684691979
1977,0.09420311554118886
1978,0.0896711180014767
1979,0.086889847746747
1980,0.08640027973017597
1981,0.08704147844936869
1982,0.0847366021075188
1983,0.08377503722390084
1984,0.08402773342401304
1985,0.08331320118695988
1986,0.08519942959749616
1987,0.08666904030666396
1988,0.08513488207488733
1989,0.08655825561079661
1990,0.09193470593597267
1991,0.10393273064787913
1992,0.11257816252715873
1993,0.12013761786055871
1994,0.12325662254180672
1995,0.12532748010087322
1996,0.12336193072307354
1997,0.12113101954111531
1998,0.11767089751182386
1999,0.11491283577495552
2000,0.12238878267878141
2001,0.12934043289031255
2002,0.1407178682014826
2003,0.1498583149741031
2004,0.15424162509518527
2005,0.15675884927194902
2006,0.15640689980497077
2007,0.15409201942347228
2008,0.15674369546681502
2009,0.1658171348749903
2010,0.176302403465516
2011,0.18059452392396227
2012,0.18748073716403954
2013,0.18891575912857148
2014,0.20389826320792528
2015,0.21690407766762457
2016,0.22236654014415266
2017,0.22463643326682795
2018,0.2248945610154303
2019,0.22369513369996502
2020,0.22700861806999578
2021,0.2597924009339844
2022,0.2817959221941068
2023,0.2914685536206722
2024,0.2618160257844671